Organization,Country,ISO_Alpha3,Region,Scope,Value_Chain,Commodity,Engagements,Member_Type,Activity_Locations,Membership_Structure,Indirect_Members,Indirect_Member_Countries,Indirect_Member_Commodity,Presence_Type,Website,Source_Country_HQ,Source_Active_Engagements_Projects,Official_Source_URL,Official_Description,Official_Notes
Canada Grains Council,Canada,CAN,North America,National,Trade / Industry Association,"Grains (wheat, barley, oats, etc.)",3,Value-chain organizations (associations + companies + research/public institutions),Canada,Member-driven association (multi-segment value chain),"National commodity and sector associations representing the Canadian grain value chain, including grower groups, grain handlers, exporters, processors, and input suppliers (e.g. Grain Growers of Canada; Cereals Canada; Pulse Canada; Western Grain Elevator Association).",Canada,"Grains, oilseeds, pulses; producers; grain handling/export; processing; crop inputs",HQ,https://canadagrainscouncil.ca/,Canada,Grain trade policy advocacy; regulatory engagement; export market access initiatives,https://canadagrainscouncil.ca/about-canada-grains-council/,"Canada Grains Council (CGC) is a national, member driven organization representing Canadian grain, oilseed, pulse and special crop sectors, and we provide a unified vision on key issues to drive effective policies and meaningful change.",
Canadian Canola Growers Association (CCGA),Canada,CAN,North America,National,Producers (Farmers),Canola (Oilseeds),3,Farmers / Producer Associations,Canada,Federated (provincial associations),"Provincial canola grower associations representing approximately 43,000 Canadian canola farmers (Alberta Canola, SaskOilseeds, Manitoba Canola Growers, Ontario Canola Growers, and BC Grain Producers Association.).",Canada,Canola/oilseed production (farmers),HQ,https://www.ccga.ca/,Canada,Representation of canola farmers; Advance Payments Program; trade and sustainability advocacy,https://www.ccga.ca/about/,"Canadian Canola Growers Association is farmer-founded and farmer-led, representing approximately 40,000 canola farmers across Canada.",
CropLife International,Belgium,BEL,Europe,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",HQ,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,United States,USA,North America,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Brazil,BRA,South America,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Argentina,ARG,South America,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Australia,AUS,Oceania,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,India,IND,Asia,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
CropLife International,Kenya,KEN,Africa,Global,Input suppliers / agri-technology,"Crop protection & biotech (seeds, pesticides, GM traits",2,Companies + Associations,United States; Belgium; Brazil; Argentina; Australia; India; Kenya,Hybrid (corporate + association),"National and regional crop protection associations and leading R&D companies, including Bayer; BASF; Corteva Agriscience; Syngenta Group; FMC; Sumitomo Chemical.","Global (Africa, Americas, Asia-Pacific, Europe, Middle East)","Crop protection, plant science, seeds/biotech inputs",Activity,https://croplife.org/,HQ: Belgium,Advocacy for crop protection technologies; stewardship and regulatory engagement,https://croplife.org/who-we-are/,"As a global advocate for the plant science industry, CropLife International champions innovative technologies that enable farmers to sustainably increase productivity while managing the critical challenges facing our climate and the environment.",
Global Dairy Platform (GDP),United States,USA,North America,Global,Value-chain coordination & advocacy,Dairy,3,Companies + Cooperatives + Associations,United States; New Zealand; Ireland; Netherlands; France,Corporate-led alliance,"Global dairy companies, cooperatives, processors, and associations across the dairy value chain, including Fonterra; Arla Foods; Dairy Farmers of America; Danone; Nestlé; FrieslandCampina; Lactalis; Saputo; and sector bodies such as IDF.",United States; New Zealand; India; Denmark; Netherlands; Canada; France; global,"Dairy farming, dairy processing, dairy trade and nutrition/science bodies",HQ,https://globaldairyplatform.com/,HQ: USA,Dairy sustainability initiatives; Pathways to Dairy Net Zero; nutrition and food security collaboration,https://globaldairyplatform.com/about/,"Global Dairy Platform leads the dairy sector’s collective efforts in illustrating dairy’s remarkable contribution to global food systems, healthy diets and sustainable livelihoods.",
Global Dairy Platform (GDP),New Zealand,NZL,Oceania,Global,Value-chain coordination & advocacy,Dairy,3,Companies + Cooperatives + Associations,United States; New Zealand; Ireland; Netherlands; France,Corporate-led alliance,"Global dairy companies, cooperatives, processors, and associations across the dairy value chain, including Fonterra; Arla Foods; Dairy Farmers of America; Danone; Nestlé; FrieslandCampina; Lactalis; Saputo; and sector bodies such as IDF.",United States; New Zealand; India; Denmark; Netherlands; Canada; France; global,"Dairy farming, dairy processing, dairy trade and nutrition/science bodies",Activity,https://globaldairyplatform.com/,HQ: USA,Dairy sustainability initiatives; Pathways to Dairy Net Zero; nutrition and food security collaboration,https://globaldairyplatform.com/about/,"Global Dairy Platform leads the dairy sector’s collective efforts in illustrating dairy’s remarkable contribution to global food systems, healthy diets and sustainable livelihoods.",
Global Dairy Platform (GDP),Ireland,IRL,Europe,Global,Value-chain coordination & advocacy,Dairy,3,Companies + Cooperatives + Associations,United States; New Zealand; Ireland; Netherlands; France,Corporate-led alliance,"Global dairy companies, cooperatives, processors, and associations across the dairy value chain, including Fonterra; Arla Foods; Dairy Farmers of America; Danone; Nestlé; FrieslandCampina; Lactalis; Saputo; and sector bodies such as IDF.",United States; New Zealand; India; Denmark; Netherlands; Canada; France; global,"Dairy farming, dairy processing, dairy trade and nutrition/science bodies",Activity,https://globaldairyplatform.com/,HQ: USA,Dairy sustainability initiatives; Pathways to Dairy Net Zero; nutrition and food security collaboration,https://globaldairyplatform.com/about/,"Global Dairy Platform leads the dairy sector’s collective efforts in illustrating dairy’s remarkable contribution to global food systems, healthy diets and sustainable livelihoods.",
Global Dairy Platform (GDP),Netherlands,NLD,Europe,Global,Value-chain coordination & advocacy,Dairy,3,Companies + Cooperatives + Associations,United States; New Zealand; Ireland; Netherlands; France,Corporate-led alliance,"Global dairy companies, cooperatives, processors, and associations across the dairy value chain, including Fonterra; Arla Foods; Dairy Farmers of America; Danone; Nestlé; FrieslandCampina; Lactalis; Saputo; and sector bodies such as IDF.",United States; New Zealand; India; Denmark; Netherlands; Canada; France; global,"Dairy farming, dairy processing, dairy trade and nutrition/science bodies",Activity,https://globaldairyplatform.com/,HQ: USA,Dairy sustainability initiatives; Pathways to Dairy Net Zero; nutrition and food security collaboration,https://globaldairyplatform.com/about/,"Global Dairy Platform leads the dairy sector’s collective efforts in illustrating dairy’s remarkable contribution to global food systems, healthy diets and sustainable livelihoods.",
Global Dairy Platform (GDP),France,FRA,Europe,Global,Value-chain coordination & advocacy,Dairy,3,Companies + Cooperatives + Associations,United States; New Zealand; Ireland; Netherlands; France,Corporate-led alliance,"Global dairy companies, cooperatives, processors, and associations across the dairy value chain, including Fonterra; Arla Foods; Dairy Farmers of America; Danone; Nestlé; FrieslandCampina; Lactalis; Saputo; and sector bodies such as IDF.",United States; New Zealand; India; Denmark; Netherlands; Canada; France; global,"Dairy farming, dairy processing, dairy trade and nutrition/science bodies",Activity,https://globaldairyplatform.com/,HQ: USA,Dairy sustainability initiatives; Pathways to Dairy Net Zero; nutrition and food security collaboration,https://globaldairyplatform.com/about/,"Global Dairy Platform leads the dairy sector’s collective efforts in illustrating dairy’s remarkable contribution to global food systems, healthy diets and sustainable livelihoods.",
Global Farmer Network,United States,USA,North America,Global,Producers / farmer advocacy,Multi-commodity (crop & livestock),1,Individual Farmers,United States; Brazil; India; Kenya; Philippines; Argentina,Individual membership,"Individual farmer-leaders selected from over 60 countries, representing diverse crop and livestock systems; participation is in an individual capacity, not as organizations.",N/A,N/A,HQ,https://globalfarmernetwork.org/,HQ: USA,"Farmer advocacy on agricultural trade, technology adoption, and food security",https://globalfarmernetwork.org/about-us/,"The Global Farmer Network amplifies the farmers’ voice in promoting trade, technology, sustainable farming, economic growth, and food security.",
Global Farmer Network,Brazil,BRA,South America,Global,Producers / farmer advocacy,Multi-commodity (crop & livestock),1,Individual Farmers,United States; Brazil; India; Kenya; Philippines; Argentina,Individual membership,"Individual farmer-leaders selected from over 60 countries, representing diverse crop and livestock systems; participation is in an individual capacity, not as organizations.",N/A,N/A,Activity,https://globalfarmernetwork.org/,HQ: USA,"Farmer advocacy on agricultural trade, technology adoption, and food security",https://globalfarmernetwork.org/about-us/,"The Global Farmer Network amplifies the farmers’ voice in promoting trade, technology, sustainable farming, economic growth, and food security.",
Global Farmer Network,India,IND,Asia,Global,Producers / farmer advocacy,Multi-commodity (crop & livestock),1,Individual Farmers,United States; Brazil; India; Kenya; Philippines; Argentina,Individual membership,"Individual farmer-leaders selected from over 60 countries, representing diverse crop and livestock systems; participation is in an individual capacity, not as organizations.",N/A,N/A,Activity,https://globalfarmernetwork.org/,HQ: USA,"Farmer advocacy on agricultural trade, technology adoption, and food security",https://globalfarmernetwork.org/about-us/,"The Global Farmer Network amplifies the farmers’ voice in promoting trade, technology, sustainable farming, economic growth, and food security.",
Global Farmer Network,Kenya,KEN,Africa,Global,Producers / farmer advocacy,Multi-commodity (crop & livestock),1,Individual Farmers,United States; Brazil; India; Kenya; Philippines; Argentina,Individual membership,"Individual farmer-leaders selected from over 60 countries, representing diverse crop and livestock systems; participation is in an individual capacity, not as organizations.",N/A,N/A,Activity,https://globalfarmernetwork.org/,HQ: USA,"Farmer advocacy on agricultural trade, technology adoption, and food security",https://globalfarmernetwork.org/about-us/,"The Global Farmer Network amplifies the farmers’ voice in promoting trade, technology, sustainable farming, economic growth, and food security.",
Global Farmer Network,Philippines,PHL,Asia,Global,Producers / farmer advocacy,Multi-commodity (crop & livestock),1,Individual Farmers,United States; Brazil; India; Kenya; Philippines; Argentina,Individual membership,"Individual farmer-leaders selected from over 60 countries, representing diverse crop and livestock systems; participation is in an individual capacity, not as organizations.",N/A,N/A,Activity,https://globalfarmernetwork.org/,HQ: USA,"Farmer advocacy on agricultural trade, technology adoption, and food security",https://globalfarmernetwork.org/about-us/,"The Global Farmer Network amplifies the farmers’ voice in promoting trade, technology, sustainable farming, economic growth, and food security.",
Global Farmer Network,Argentina,ARG,South America,Global,Producers / farmer advocacy,Multi-commodity (crop & livestock),1,Individual Farmers,United States; Brazil; India; Kenya; Philippines; Argentina,Individual membership,"Individual farmer-leaders selected from over 60 countries, representing diverse crop and livestock systems; participation is in an individual capacity, not as organizations.",N/A,N/A,Activity,https://globalfarmernetwork.org/,HQ: USA,"Farmer advocacy on agricultural trade, technology adoption, and food security",https://globalfarmernetwork.org/about-us/,"The Global Farmer Network amplifies the farmers’ voice in promoting trade, technology, sustainable farming, economic growth, and food security.",
Global Pulse Confederation (GPC),UAE,ARE,Middle East,Global,Trade / Industry Federation,"Pulses (lentils, peas, chickpeas, beans)",3,Associations + Companies,United States; Australia; India; United Arab Emirates,Federated + corporate,"National pulse associations and private-sector pulse companies, including Pulse Canada; USA Dry Pea & Lentil Council; Indian Pulses and Grains Association (IPGA); Australian Pulse Industry Association; and global traders and processors.","Global (including Canada, USA, India, Australia, UAE, Brazil, Argentina, China, Japan, Mexico, Egypt)","Pulses value chain (production, trading, processing, logistics, research)",HQ,https://globalpulses.com/,HQ: UAE,Pulse trade promotion; Pulses Conference; market intelligence and networking,https://globalpulses.com/,Nonprofit association for the pulse industry supply chain.,Official site title identifies the organization as Global Pulse Confederation.
Global Pulse Confederation (GPC),United States,USA,North America,Global,Trade / Industry Federation,"Pulses (lentils, peas, chickpeas, beans)",3,Associations + Companies,United States; Australia; India; United Arab Emirates,Federated + corporate,"National pulse associations and private-sector pulse companies, including Pulse Canada; USA Dry Pea & Lentil Council; Indian Pulses and Grains Association (IPGA); Australian Pulse Industry Association; and global traders and processors.","Global (including Canada, USA, India, Australia, UAE, Brazil, Argentina, China, Japan, Mexico, Egypt)","Pulses value chain (production, trading, processing, logistics, research)",Activity,https://globalpulses.com/,HQ: UAE,Pulse trade promotion; Pulses Conference; market intelligence and networking,https://globalpulses.com/,Nonprofit association for the pulse industry supply chain.,Official site title identifies the organization as Global Pulse Confederation.
Global Pulse Confederation (GPC),Australia,AUS,Oceania,Global,Trade / Industry Federation,"Pulses (lentils, peas, chickpeas, beans)",3,Associations + Companies,United States; Australia; India; United Arab Emirates,Federated + corporate,"National pulse associations and private-sector pulse companies, including Pulse Canada; USA Dry Pea & Lentil Council; Indian Pulses and Grains Association (IPGA); Australian Pulse Industry Association; and global traders and processors.","Global (including Canada, USA, India, Australia, UAE, Brazil, Argentina, China, Japan, Mexico, Egypt)","Pulses value chain (production, trading, processing, logistics, research)",Activity,https://globalpulses.com/,HQ: UAE,Pulse trade promotion; Pulses Conference; market intelligence and networking,https://globalpulses.com/,Nonprofit association for the pulse industry supply chain.,Official site title identifies the organization as Global Pulse Confederation.
Global Pulse Confederation (GPC),India,IND,Asia,Global,Trade / Industry Federation,"Pulses (lentils, peas, chickpeas, beans)",3,Associations + Companies,United States; Australia; India; United Arab Emirates,Federated + corporate,"National pulse associations and private-sector pulse companies, including Pulse Canada; USA Dry Pea & Lentil Council; Indian Pulses and Grains Association (IPGA); Australian Pulse Industry Association; and global traders and processors.","Global (including Canada, USA, India, Australia, UAE, Brazil, Argentina, China, Japan, Mexico, Egypt)","Pulses value chain (production, trading, processing, logistics, research)",Activity,https://globalpulses.com/,HQ: UAE,Pulse trade promotion; Pulses Conference; market intelligence and networking,https://globalpulses.com/,Nonprofit association for the pulse industry supply chain.,Official site title identifies the organization as Global Pulse Confederation.
Grain and Feed Trade Association (GAFTA),UK,GBR,Europe,Global,Trade / Arbitration,"Grains, Feed",3,Companies,United Kingdom; Switzerland; Singapore; China; Ukraine,Corporate membership,"International grain, oilseed, and feed trading companies and service providers, including traders, brokers, inspection firms, arbitrators, and fumigation companies (e.g. Cargill; ADM; Bunge; Louis Dreyfus Company; COFCO International; SGS).",N/A,N/A,HQ,https://www.gafta.com/,HQ: UK,Grain and feed trade contracts; arbitration; trade standards and training,https://www.gafta.com/home-content/about/,"Gafta is an international trade association with over 1900 members in 100 countries. Our aim is to promote international trade in agricultural commodities, spices and general produce, and to protect our members’ interests worldwide.",
Grain and Feed Trade Association (GAFTA),Switzerland,CHE,Europe,Global,Trade / Arbitration,"Grains, Feed",3,Companies,United Kingdom; Switzerland; Singapore; China; Ukraine,Corporate membership,"International grain, oilseed, and feed trading companies and service providers, including traders, brokers, inspection firms, arbitrators, and fumigation companies (e.g. Cargill; ADM; Bunge; Louis Dreyfus Company; COFCO International; SGS).",N/A,N/A,Activity,https://www.gafta.com/,HQ: UK,Grain and feed trade contracts; arbitration; trade standards and training,https://www.gafta.com/home-content/about/,"Gafta is an international trade association with over 1900 members in 100 countries. Our aim is to promote international trade in agricultural commodities, spices and general produce, and to protect our members’ interests worldwide.",
Grain and Feed Trade Association (GAFTA),Singapore,SGP,Asia,Global,Trade / Arbitration,"Grains, Feed",3,Companies,United Kingdom; Switzerland; Singapore; China; Ukraine,Corporate membership,"International grain, oilseed, and feed trading companies and service providers, including traders, brokers, inspection firms, arbitrators, and fumigation companies (e.g. Cargill; ADM; Bunge; Louis Dreyfus Company; COFCO International; SGS).",N/A,N/A,Activity,https://www.gafta.com/,HQ: UK,Grain and feed trade contracts; arbitration; trade standards and training,https://www.gafta.com/home-content/about/,"Gafta is an international trade association with over 1900 members in 100 countries. Our aim is to promote international trade in agricultural commodities, spices and general produce, and to protect our members’ interests worldwide.",
Grain and Feed Trade Association (GAFTA),China,CHN,Asia,Global,Trade / Arbitration,"Grains, Feed",3,Companies,United Kingdom; Switzerland; Singapore; China; Ukraine,Corporate membership,"International grain, oilseed, and feed trading companies and service providers, including traders, brokers, inspection firms, arbitrators, and fumigation companies (e.g. Cargill; ADM; Bunge; Louis Dreyfus Company; COFCO International; SGS).",N/A,N/A,Activity,https://www.gafta.com/,HQ: UK,Grain and feed trade contracts; arbitration; trade standards and training,https://www.gafta.com/home-content/about/,"Gafta is an international trade association with over 1900 members in 100 countries. Our aim is to promote international trade in agricultural commodities, spices and general produce, and to protect our members’ interests worldwide.",
International Dairy Federation (FIL/IDF),Belgium,BEL,Europe,Global,Standards / Science,Dairy,3,National Committees / Associations,Belgium; United States; New Zealand; Ireland; Japan,Federated (national committees),"7 member companies: Ajinomoto, The Coca-Cola Company, Ferrero, Grupo Bimbo, Kellanova, Mondelez International, PepsiCo.","Member countries across Europe, Americas, Africa, Asia and Oceania","Dairy production, processing, science, standards and policy",HQ,https://fil-idf.org/,HQ: Belgium,Development of dairy standards; nutrition guidance; international dairy science collaboration,https://fil-idf.org/,"The International Dairy Federation (IDF) represents the global dairy sector and ensures the best scientific expertise is used to support high quality milk and nutritious, safe and sustainable dairy products.",
International Dairy Federation (FIL/IDF),United States,USA,North America,Global,Standards / Science,Dairy,3,National Committees / Associations,Belgium; United States; New Zealand; Ireland; Japan,Federated (national committees),"7 member companies: Ajinomoto, The Coca-Cola Company, Ferrero, Grupo Bimbo, Kellanova, Mondelez International, PepsiCo.","Member countries across Europe, Americas, Africa, Asia and Oceania","Dairy production, processing, science, standards and policy",Activity,https://fil-idf.org/,HQ: Belgium,Development of dairy standards; nutrition guidance; international dairy science collaboration,https://fil-idf.org/,"The International Dairy Federation (IDF) represents the global dairy sector and ensures the best scientific expertise is used to support high quality milk and nutritious, safe and sustainable dairy products.",
